"ID","trial_number","RT","Action_Dir","Action_length","Sound","x_disp","y_disp","eucl_disp"
2,80,792,"W","1","S1",19,-6,19.9248588451713
2,81,801,"R","3","S1",-7,2,7.28010988928052
2,82,742,"W","3","S2",11,-15,18.6010752377383
2,83,694,"R","1","S2",-13,1,13.0384048104053
2,84,678,"R","3","S2",10,-5,11.1803398874989
2,85,511,"W","1","S1",62,-25,66.8505796534331
2,86,514,"W","3","S1",27,-13,29.9666481275434
2,87,890,"W","3","S2",55,-24,60.00833275471
2,88,610,"R","1","S1",-45,-14,47.1274866717927
2,89,974,"W","1","S2",-1,-7,7.07106781186548
2,90,772,"R","1","S2",-58,17,60.4400529450463
2,91,595,"W","2","S2",26,-18,31.6227766016838
2,92,1049,"R","3","S1",-36,8,36.8781778291715
2,93,857,"W","2","S1",25,-17,30.2324329156619
2,94,768,"R","2","S2",-23,-7,24.0416305603426
2,95,492,"W","3","S1",14,-2,14.142135623731
2,96,626,"W","1","S2",32,-22,38.8329756778952
2,97,582,"W","2","S2",16,-24,28.8444102037119
2,98,718,"W","3","S2",52,3,52.0864665724217
2,99,972,"R","3","S2",-6,-18,18.9736659610103
2,100,1135,"R","2","S1",-21,-10,23.259406699226
2,101,776,"R","3","S1",-44,-10,45.1220566907139
2,102,889,"R","1","S1",-12,-12,16.9705627484771
2,103,592,"W","2","S2",21,-14,25.2388589282479
2,104,652,"W","3","S2",26,-7,26.9258240356725
2,105,902,"R","2","S2",-8,-26,27.2029410174709
2,106,632,"W","2","S1",15,-20,25
2,107,576,"R","1","S1",-24,-2,24.0831891575846
2,108,708,"R","3","S2",-11,-30,31.9530906173409
2,109,927,"W","1","S1",-10,-18,20.591260281974
2,110,544,"W","1","S2",14,-21,25.2388589282479
2,111,729,"R","2","S1",-56,-5,56.2227711874824
2,112,808,"R","2","S1",-28,-2,28.0713376952364
2,113,897,"R","3","S2",-10,-12,15.6204993518133
2,114,626,"W","2","S1",55,-6,55.3263047744922
2,115,924,"W","2","S2",62,-9,62.6498204307083
2,116,921,"W","2","S2",29,-10,30.6757233003559
2,117,935,"R","2","S2",-54,-10,54.9181208709839
2,118,583,"W","1","S1",63,-12,64.1326749792959
2,119,641,"R","1","S2",-33,-2,33.0605505096331
2,120,632,"W","3","S1",14,2,14.142135623731
3,1,1138,"W","1","S1",4,-5,6.40312423743285
3,2,1180,"R","1","S2",12,-9,15
3,3,1278,"W","1","S2",12,4,12.6491106406735
3,4,614,"R","1","S1",11,5,12.0830459735946
3,5,1241,"W","3","S2",22,4,22.3606797749979
3,6,1215,"R","1","S2",11,-5,12.0830459735946
3,7,1137,"R","1","S1",2,3,3.60555127546399
3,8,1068,"W","3","S1",30,0,30
3,9,1092,"W","3","S2",14,7,15.6524758424985
3,10,1035,"W","3","S1",15,-1,15.0332963783729
3,11,964,"W","3","S1",30,4,30.2654919008431
3,12,1008,"W","2","S2",34,4,34.2344855372474
3,13,1085,"R","1","S1",10,-8,12.8062484748657
3,14,708,"W","1","S1",28,9,29.4108823397055
3,15,1039,"W","2","S1",25,6,25.7099202643649
3,16,1045,"W","2","S2",30,5,30.4138126514911
3,17,915,"W","3","S2",12,13,17.6918060129541
3,18,963,"W","1","S2",29,1,29.0172362570938
3,19,793,"W","1","S1",12,1,12.0415945787923
3,20,1420,"W","1","S2",13,3,13.3416640641263
3,21,1039,"R","3","S2",9,-10,13.4536240470737
3,22,1104,"W","1","S1",9,-4,9.8488578017961
3,23,1061,"R","3","S1",17,-23,28.6006992921502
3,24,1087,"W","2","S1",15,3,15.2970585407784
3,25,1792,"R","3","S1",10,-10,14.142135623731
3,26,1080,"W","1","S2",15,-5,15.8113883008419
3,27,1226,"W","3","S1",14,0,14
3,28,872,"R","1","S2",2,-4,4.47213595499958
3,29,928,"R","3","S2",11,-15,18.6010752377383
3,30,1185,"W","2","S2",25,5,25.4950975679639
3,31,1024,"W","2","S1",21,2,21.095023109729
3,32,1007,"R","3","S1",12,-6,13.4164078649987
3,33,1125,"W","3","S2",11,13,17.0293863659264
3,34,1285,"W","1","S2",39,-13,41.1096095821889
3,35,1063,"W","3","S2",26,4,26.3058928759318
3,36,968,"R","3","S2",12,-3,12.369316876853
3,37,1046,"R","1","S1",-12,7,13.8924439894498
