date,time,computer.platform,computer.os,display.canvaswidth,display.canvasheight,display.width,display.height,display.refreshrate,blockcode,trialcode,trial_number,Age,Sex,Handedness,response_time,mousex,mousey,audio_condition_select,survey_Q1,survey_Q2,survey_Q3,survey_Q4,survey_Q5
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,45,37,Female,Right-handed,1328,1220,663,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,45,37,Female,Right-handed,1182,1169,636,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,45,37,Female,Right-handed,1182,1169,636,3,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,F0_M2_trial,46,37,Female,Right-handed,1182,1169,636,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,W2_trial,46,37,Female,Right-handed,1182,1169,636,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,Mouse_test,46,37,Female,Right-handed,1409,1177,643,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W2,centermouse,46,37,Female,Right-handed,1409,1177,643,4,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,47,37,Female,Right-handed,1409,1177,643,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,47,37,Female,Right-handed,1409,1177,643,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,47,37,Female,Right-handed,1706,858,593,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,47,37,Female,Right-handed,1706,858,593,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,48,37,Female,Right-handed,1706,858,593,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,R3_trial,48,37,Female,Right-handed,1706,858,593,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,Mouse_test,48,37,Female,Right-handed,1605,863,583,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,centermouse,48,37,Female,Right-handed,1605,863,583,6,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,F0_M3_trial,49,37,Female,Right-handed,1605,863,583,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,W3_trial,49,37,Female,Right-handed,1605,863,583,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,Mouse_test,49,37,Female,Right-handed,907,1177,662,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W3,centermouse,49,37,Female,Right-handed,907,1177,662,5,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,F0_M1_trial,50,37,Female,Right-handed,907,1177,662,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,W1_trial,50,37,Female,Right-handed,907,1177,662,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,Mouse_test,50,37,Female,Right-handed,1191,1136,648,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_W1,centermouse,50,37,Female,Right-handed,1191,1136,648,2,0,0,0,0,0
01/09/2022,01:49:38,win,win10,1920px,1080px,1920,1080,60,block_R3,F0_M3_trial,51,37,Female,Right-handed,1191,1136,648,6,0,0,0,0,0
