"ID","Action_Dir","Action_length","Sound","x_disp","y_disp"
23,"R","2","S1",111.922401171303,-67.0625
23,"R","2","S2",111.922401171303,-67.0625
23,"R","3","S1",122.530014641288,-73.25
23,"R","3","S2",126.922401171303,-76.0625
23,"W","1","S1",-126.077598828697,-10.0625
23,"W","1","S2",-126.077598828697,-10.0625
23,"W","2","S1",-162.077598828697,-9.0625
23,"W","2","S2",-162.077598828697,-9.0625
23,"W","3","S1",-186.077598828697,1.9375
23,"W","3","S2",-186.077598828697,1.9375
24,"R","1","S1",20.6,1.15
24,"R","1","S2",3.18181818181818,3.09090909090909
24,"R","2","S1",17,0.4
24,"R","2","S2",11.6,-4.3
24,"R","3","S1",15.5,-5.27272727272727
24,"R","3","S2",11.4090909090909,-2.77272727272727
24,"W","1","S1",23.2272727272727,0.636363636363636
24,"W","1","S2",29.05,3.95
24,"W","2","S1",13.6363636363636,1.40909090909091
24,"W","2","S2",25.1818181818182,0.818181818181818
24,"W","3","S1",13.8636363636364,7.72727272727273
24,"W","3","S2",17.2727272727273,9.45454545454546
25,"R","1","S1",43.4561403508771,-10.4276315789473
25,"R","1","S2",43.5837320574162,-9.27033492822964
25,"R","2","S1",53.2105263157894,-29.078947368421
25,"R","2","S2",31.1754385964912,-7.05263157894731
25,"R","3","S1",57.1228070175438,-12.9736842105263
25,"R","3","S2",34.0350877192982,-14.2763157894736
25,"W","1","S1",-61.1148325358852,16.6495215311005
25,"W","1","S2",-68.6427432216907,16.0035885167465
25,"W","2","S1",-45.2488038277513,15.4964114832536
25,"W","2","S2",-38.2631578947369,13.7828947368421
25,"W","3","S1",-59.9346092503988,23.1590909090909
25,"W","3","S2",-52.7894736842106,27.4653110047848
26,"R","1","S1",36.4665246905364,-13.0113636363636
26,"R","1","S2",40.900439238653,-13.34375
26,"R","2","S1",9.03513909224012,-6.3125
26,"R","2","S2",14.6573938506589,-10.8125
26,"R","3","S1",43.9941434846267,-23.046875
26,"R","3","S2",39.6496738985758,-28.3778409090909
26,"W","1","S1",32.1122055104485,-5.20454545454545
26,"W","1","S2",40.8011446825503,-9.16761363636364
26,"W","2","S1",17.5789964062292,-11.7471590909091
26,"W","2","S2",29.0790629575403,-6.25
26,"W","3","S1",19.696925329429,0.953125
26,"W","3","S2",32.0403300945029,2.83238636363636
27,"R","1","S1",10.7272727272727,-16.3636363636364
27,"R","1","S2",4.09090909090909,-10.7272727272727
27,"R","2","S1",-3,-35.2
27,"R","2","S2",-4.4,-24.4
27,"R","3","S1",9.66666666666667,-27.8333333333333
27,"R","3","S2",7,-26.8181818181818
27,"W","1","S1",-2,-10.0833333333333
27,"W","1","S2",20.1818181818182,-10.4545454545455
27,"W","2","S1",-6.8,-6.8
27,"W","2","S2",10.9,-14.6
27,"W","3","S1",-8,-3.27272727272727
27,"W","3","S2",7,-2.81818181818182
28,"R","1","S1",7,0.545454545454545
28,"R","1","S2",-3.27272727272727,12.2727272727273
28,"R","2","S1",16.2,9.2
28,"R","2","S2",7,1.6
28,"R","3","S1",10.8181818181818,1.90909090909091
28,"R","3","S2",-3.81818181818182,6.54545454545455
28,"W","1","S1",19.25,-3.33333333333333
28,"W","1","S2",27.8181818181818,-5.09090909090909
28,"W","2","S1",20,-4.54545454545455
28,"W","2","S2",18.6363636363636,5.27272727272727
28,"W","3","S1",-15.4,5.2
28,"W","3","S2",-1.54545454545455,10
29,"R","1","S1",15.0833333333333,8.91666666666667
29,"R","1","S2",4.54545454545455,13.4545454545455
29,"R","2","S1",12.6,0
29,"R","2","S2",9.8,11
29,"R","3","S1",18.7777777777778,2.55555555555556
29,"R","3","S2",5.11111111111111,3
29,"W","1","S1",-6.08333333333333,11.0833333333333
29,"W","1","S2",1.54545454545455,10.1818181818182
29,"W","2","S1",-22.0909090909091,8.90909090909091
29,"W","2","S2",1.63636363636364,10.3636363636364
29,"W","3","S1",-3.41666666666667,13.6666666666667
29,"W","3","S2",18.9090909090909,14.5454545454545
30,"R","1","S1",14.1590909090909,-3.02272727272727
30,"R","1","S2",4.47727272727273,3.45454545454545
30,"R","2","S1",24.75,-12.05
30,"R","2","S2",10.8,-4.4
30,"R","3","S1",21.975,-10.7
30,"R","3","S2",16.8125,-12.125
30,"W","1","S1",8.34090909090909,-4.72727272727273
30,"W","1","S2",24.125,-3.95
30,"W","2","S1",8.95454545454546,-4.34090909090909
30,"W","2","S2",20.375,-2.8
30,"W","3","S1",13.1818181818182,5.84090909090909
30,"W","3","S2",21.9090909090909,7.06818181818182
31,"R","1","S1",95.8579795021962,-47.515625
31,"R","1","S2",93.0468521229868,-47.09375
31,"R","2","S1",111.922401171303,-64.953125
31,"R","2","S2",112.273792093704,-63.546875
31,"R","3","S1",122.002928257687,-68.046875
31,"R","3","S2",125.516837481698,-74.5
31,"W","1","S1",-124.288699587382,-6.86647727272727
31,"W","1","S2",-124.10980966325,-8.9375
31,"W","2","S1",-160.799813656329,-5.99431818181818
31,"W","2","S2",-162.460934380407,-7.14488636363636
31,"W","3","S1",-185.452903855539,4.59375
31,"W","3","S2",-183.905364035671,3.21590909090909
32,"R","1","S1",97.1613203780115,-45.7386363636364
32,"R","1","S2",98.0131771595901,-46.25
32,"R","2","S1",120.07467057101,-65.65625
32,"R","2","S2",119.512445095168,-64.53125
32,"R","3","S1",131.905763343538,-65.3238636363636
32,"R","3","S2",126.922401171303,-67.625
32,"W","1","S1",-119.330893118594,-7.390625
32,"W","1","S2",-118.487554904832,-7.8125
32,"W","2","S1",-155.049780380673,-5.86647727272727
32,"W","2","S2",-155.305337415147,-5.99431818181818
32,"W","3","S1",-175.471981898043,4.11079545454545
32,"W","3","S2",-179.471449487555,5.171875
33,"R","1","S1",53.6363636363636,-30.9090909090909
33,"R","1","S2",33.8181818181818,-19.8181818181818
33,"R","2","S1",51.2,-36.6
33,"R","2","S2",31.6,-22.8
33,"R","3","S1",36.4545454545455,-24.2727272727273
