"ID","Action_Dir","Action_length","Sound","x_disp","y_disp"
5,"W","2","S2",14,-4.75
5,"W","3","S1",22,-0.444444444444444
5,"W","3","S2",22.3333333333333,-1.75
6,"R","1","S1",21.3333333333333,-0.799999999999969
6,"R","1","S2",12.8333333333333,-4.54999999999998
6,"R","2","S1",29.4848484848485,-6.32727272727271
6,"R","2","S2",22.037037037037,-5.06666666666666
6,"R","3","S1",40.2222222222222,-11.1333333333333
6,"R","3","S2",27.5757575757575,-4.45454545454543
6,"W","1","S1",34.1481481481481,7.33333333333336
6,"W","1","S2",42.9999999999999,8.20000000000001
6,"W","2","S1",29.9999999999999,6.24000000000002
6,"W","2","S2",38.6666666666666,8.56363636363639
6,"W","3","S1",27.4545454545454,10.0727272727273
6,"W","3","S2",37.9999999999999,10.64
7,"R","1","S1",-16.375,24.5
7,"R","1","S2",-5.90909090909091,10.7272727272727
7,"R","2","S1",-4.4,-2.2
7,"R","2","S2",-3.28571428571429,3.21428571428571
7,"R","3","S1",19,4.25
7,"R","3","S2",20.4444444444444,-5.33333333333333
7,"W","1","S1",-12.8,-1
7,"W","1","S2",-22.2,-5.7
7,"W","2","S1",-5.38461538461539,9.23076923076923
7,"W","2","S2",-16.1428571428571,18.8571428571429
7,"W","3","S1",-21.6666666666667,-5.66666666666667
7,"W","3","S2",-19.2,19.8666666666667
8,"R","1","S1",30.7179487179487,-8.4153846153846
8,"R","1","S2",18.3333333333333,-4.84999999999999
8,"R","2","S1",28.3939393939394,-11.5636363636363
8,"R","2","S2",34.8333333333333,-2.39999999999999
8,"R","3","S1",47.4444444444444,-23.8
8,"R","3","S2",43.9259259259259,-15.4
8,"W","1","S1",55.4999999999999,-5.89999999999996
8,"W","1","S2",39.5999999999999,-12.8
8,"W","2","S1",44.7179487179486,2.90769230769233
8,"W","2","S2",59.4285714285713,4.20000000000001
8,"W","3","S1",41.2727272727272,-4.98181818181817
8,"W","3","S2",54.8888888888888,-7.46666666666663
9,"R","1","S1",0.75,-5
9,"R","1","S2",20,-13.4166666666667
9,"R","2","S1",10.7142857142857,-9.85714285714286
9,"R","2","S2",15.4285714285714,-2.42857142857143
9,"R","3","S1",18,-9
9,"R","3","S2",31.6,-16.6
9,"W","1","S1",25.3636363636364,-9.09090909090909
9,"W","1","S2",28.3333333333333,-10.3333333333333
9,"W","2","S1",35.1666666666667,-11.25
9,"W","2","S2",18.2857142857143,-15.8571428571429
9,"W","3","S1",32.2222222222222,-11.4444444444444
9,"W","3","S2",19.9166666666667,-7.08333333333333
10,"R","1","S1",25.5999999999999,5.92000000000002
10,"R","1","S2",16.3030303030303,6.34545454545457
10,"R","2","S1",30.2222222222222,-3.09999999999998
10,"R","2","S2",30.037037037037,-0.399999999999977
10,"R","3","S1",36.6666666666666,1.00000000000002
10,"R","3","S2",31.6,4.72000000000002
10,"W","1","S1",40.5555555555555,9.40000000000003
10,"W","1","S2",50.4999999999999,11.05
10,"W","2","S1",44.5333333333333,16.44
10,"W","2","S2",41.1851851851851,15.8
10,"W","3","S1",34.1481481481481,21.0666666666667
10,"W","3","S2",45.0666666666666,14.72
11,"R","1","S1",41.8787878787879,-11.9818181818182
11,"R","1","S2",43.037037037037,-7.53333333333332
11,"R","2","S1",44.3939393939394,-9.59999999999997
11,"R","2","S2",18.6,-10.68
11,"R","3","S1",71.3333333333333,-11.9818181818182
11,"R","3","S2",39.3333333333333,-8.89999999999998
11,"W","1","S1",106.533333333333,-7.27999999999997
11,"W","1","S2",102.969696969697,2.03636363636367
11,"W","2","S1",65.0370370370369,3.40000000000004
11,"W","2","S2",82.8148148148148,0.466666666666697
11,"W","3","S1",58.4848484848484,6.90909090909094
